machine,kernel,metric,no_metric,frequency,error
deren_run,stream,l1_bw,8,1,-0.006908580717629673,1
deren_run,stream,ai,8,1,0.08314473868507301,1
deren_run,stream,ai_err,8,1,-0.9171087149184637,1
deren_run,stream,fp_arith_scalar_double_err,8,2,-0.008672367145244433,1
deren_run,stream,unhalted_reference_cycles_err,8,2,-0.034143164676908075,1
deren_run,stream,instruction_retired_err,8,2,-0.006654945665513462,1
deren_run,stream,uops_retired_any_err,8,2,-0.008153024439785895,1
deren_run,stream,l1_bw,8,2,-0.008654049694350303,1
deren_run,stream,ai,8,2,0.08333302202157102,1
deren_run,stream,ai_err,8,2,-0.9167587342333573,1
deren_run,stream,fp_arith_scalar_double_err,8,4,-0.002560147392761886,1
deren_run,stream,unhalted_reference_cycles_err,8,4,-0.028131973633201926,1
deren_run,stream,instruction_retired_err,8,4,-0.0005276942226557524,1
deren_run,stream,uops_retired_any_err,8,4,7.868783101971486e-05,1
deren_run,stream,l1_bw,8,4,-0.00014238504737112438,1
deren_run,stream,ai,8,4,0.0831318548784707,1
deren_run,stream,ai_err,8,4,-0.9169069562262008,1
deren_run,stream,fp_arith_scalar_double_err,8,8,-0.0017560231074903738,1
deren_run,stream,unhalted_reference_cycles_err,8,8,-0.026087757057448188,1
deren_run,stream,instruction_retired_err,8,8,0.00035923276110129464,1
deren_run,stream,uops_retired_any_err,8,8,0.0008557532768269088,1
deren_run,stream,l1_bw,8,8,0.000579394381134349,1
deren_run,stream,ai,8,8,0.08313894661586006,1
deren_run,stream,ai_err,8,8,-0.9169654179373993,1
deren_run,stream,fp_arith_scalar_double_err,8,16,-0.003938406239872868,1
deren_run,stream,unhalted_reference_cycles_err,8,16,0.057368420445262615,1
deren_run,stream,instruction_retired_err,8,16,0.04260943816192369,1
deren_run,stream,uops_retired_any_err,8,16,0.006318660983372108,1
deren_run,stream,l1_bw,8,16,0.005575466885617594,1
deren_run,stream,ai,8,16,0.08254652201465638,1
deren_run,stream,ai_err,8,16,-0.9169124145261816,1
deren_run,stream,fp_arith_scalar_double_err,8,32,-0.005994627741596748,1
deren_run,stream,unhalted_reference_cycles_err,8,32,0.09635060620423834,1
deren_run,stream,instruction_retired_err,8,32,0.06202661835931388,1
deren_run,stream,uops_retired_any_err,8,32,-0.009049069208191943,1
deren_run,stream,l1_bw,8,32,-0.006884486067080268,1
deren_run,stream,ai,8,32,0.08340852974891175,1
deren_run,stream,ai_err,8,32,-0.9167270299775802,1
deren_run,peakflops,fp_arith_scalar_double_err,8,1,-0.00938466618701708,1
deren_run,peakflops,unhalted_reference_cycles_err,8,1,-0.03438398555412953,1
deren_run,peakflops,instruction_retired_err,8,1,-0.008781827985476047,1
deren_run,peakflops,uops_retired_any_err,8,1,-0.009077671687166501,1
deren_run,peakflops,l1_bw,8,1,-0.0035598818991693848,1
deren_run,peakflops,ai,8,1,1.988406464430302,1
deren_run,peakflops,ai_err,8,1,0.9758216717244828,1
deren_run,peakflops,fp_arith_scalar_double_err,8,2,-0.0101321529417462,1
deren_run,peakflops,unhalted_reference_cycles_err,8,2,-0.03576593015777503,1
deren_run,peakflops,instruction_retired_err,8,2,-0.009514998000215366,1
deren_run,peakflops,uops_retired_any_err,8,2,-0.009252280562222543,1
deren_run,peakflops,l1_bw,8,2,-0.0036706316429261057,1
deren_run,peakflops,ai,8,2,1.9870309628098777,1
deren_run,peakflops,ai_err,8,2,0.9853005649810549,1
deren_run,peakflops,fp_arith_scalar_double_err,8,4,-0.0037854528991247936,1
deren_run,peakflops,unhalted_reference_cycles_err,8,4,-0.029423371975633616,1
deren_run,peakflops,instruction_retired_err,8,4,-0.003018763225303962,1
deren_run,peakflops,uops_retired_any_err,8,4,-0.0019872508449400774,1
deren_run,peakflops,l1_bw,8,4,0.004895276099213398,1
deren_run,peakflops,ai,8,4,1.9827308166559823,1
deren_run,peakflops,ai_err,8,4,0.9746347601522927,1
deren_run,peakflops,fp_arith_scalar_double_err,8,8,-0.0008277952603450685,1
deren_run,peakflops,unhalted_reference_cycles_err,8,8,-0.02444462325254902,1
deren_run,peakflops,instruction_retired_err,8,8,0.0006149850925438902,1
deren_run,peakflops,uops_retired_any_err,8,8,-0.001244661891804518,1
deren_run,peakflops,l1_bw,8,8,0.004445503004399681,1
deren_run,peakflops,ai,8,8,1.9895562821644233,1
deren_run,peakflops,ai_err,8,8,0.9894404261922396,1
deren_run,peakflops,fp_arith_scalar_double_err,8,16,-0.005599134330720233,1
deren_run,peakflops,unhalted_reference_cycles_err,8,16,0.05397150911924117,1
deren_run,peakflops,instruction_retired_err,8,16,0.03835021471689224,1
deren_run,peakflops,uops_retired_any_err,8,16,0.0006966929347657501,1
deren_run,peakflops,l1_bw,8,16,0.004754566912946698,1
deren_run,peakflops,ai,8,16,1.9795046816138933,1
deren_run,peakflops,ai_err,8,16,0.9697713504203489,1
deren_run,peakflops,fp_arith_scalar_double_err,8,32,-0.008002351537752868,1
deren_run,peakflops,unhalted_reference_cycles_err,8,32,0.09780518621275416,1
deren_run,peakflops,instruction_retired_err,8,32,0.05668491319628888,1
